  basura ,1,   practicante colombia aprendiz entendido práctica prácticamente principal delikatessen fundaunibán medellin
 Tecnologia ,2,"  software tecnología programador telefonía tic ti desarrollador telecomunicaciones sistemas  desarrollo  pymes comercial auxiliar cartera contac compras punto asesora mercadeo activaciones leader spanish south america region indirect sales ecuador lider centro sur tienda caja mercaderista información latam call cuenta claro calidad especialista análisis (reclamos) pasante backoffice plataforma exhibiciones meta etb presencial informaticos eléctrica, ing. área moviles facturación mayorista víveres básico direccionador surtidor, tecnológicos automatización/ community aeronautico innovación tele customer configurador project hardware system compumax virtual electricidad mediciones energéticos programación electrónica biométrico robótica"
 Servicios y ventas ,3,"  cocina vitrina impulsador mesera mesero camarer conductor  servicio ventas vendedora caja soporte manejo atención profesional seccion carnes (servicio salud caja call callcenter- internacional operativo pasillera call superetes impulsomercadeo panaderia recaudo empresarial automatizador, posventas reporting cotizador unsuario devoluciones coemrcial vendededor, mercancia, sevicios leasing integral cajero-asesor exportaciones e-commerce agendamiento avianca enlace afiliaciones fraudes accidentes impuestos suscriptor experiencia support conciliaciones cajera-servucion facililtador mercaimpulsadora costumer comisionista portafolios-senior ventanilla inbout corprativas/supervisor cliente/vendedor entregador associate channel activation) category workplace vendedor/tecnico alistamiento clienente cajera/ventas (datáfono) telefónico qualification sénior mercantil, merchandising donaciones retencion adquisiciones sensibilizador"
 Ambiental-forestal ,4,  zoo bio quimi forestal  arbolado
 Archivistica ,5,  Archivista  archivo bodega caja  inventario archivadora contador instructor físico planta educativos cátedra control contraloria operadora escuela Tallerista de Danzas  expedición
 Docente,6,  Docente capacitador  profesor intérprete chino matematicas educacion continuada preventivo correctivo investigación dedicación exclusiva entrenante temporal académico captación pedagogia facilidades belleza intructor honorífica escolar recreacionista matronatación párvulos jovenes comflicto lúdico hispano formadora captaciones orientadora
 Ingeniería ,7,  proyectos esstructural  ingeniera estadístico contratista
 Derecho ,8,"  abogado juridica jurista abogada interventor  migratoria asistente territorial demand dependiente judicial auditor representante inspectora moderacion mediadora titular universitario magistrado locativo seleccion estudiante inspección jurídico constitucionales sustanciación, contractuales. societarias, mobiliarias, respuesta derechos petición (pqrs), contestaciones tutelas, insolvencia reorganización, proyección resoluciones entidades libranza runeol) disciplinarios (cumplimiento congreso república sustanciadora"
 Atencion al usuario ,9,  call center  analista  zona
 Financieros ,10,"  caja cajera cajero   logistico contabilidad contable tesoreria financiero fiscal inversión departamento crédito vanquera reconocimientos prestaciones económicas credito tarjeta multicanal presupuesto garantías cooperativo perdidas microfinanzas bancolombia recaudador, sucursal"
 logistica\t ,11,"  comercio exterior eventos  almacenista bodeguero logístico descarguero, acomodador distribucion distribuidor vendedor/bodeguero abastecimiento trazabilidad materias coordinador-logístico vehículo equipajes aeropuerto pasajero documental-aprendiz"
 arte ,12,  locutor tallerista multimedia pintura  coordinador talento consultor senior director marketing segment manager account development operaciones diseño animadora/saxofonista contenido/ diseñadora personalizado audiovisual realizador tallerista populares publicista fotografo creativo diciembre decoración artesano postproducción
 Humanas ,13,  recursos humanos RRHH   gestión coord. laboral coordinator relaciones públicas personal trabajo social ocupacional cultural colecciones arte gráfica reclutamiento bienestar referente generaciones contratacion proteccion afro2020 periodista comunicadora relacionista patrimonio personalización trabajadora magdalena fundación corresponsal redactor
 Secretariado ,14, digitador recepcionista bibliotec  al cliente  secretaria oficina recepción digitalizador cajera-digitadora reseccionista movilidad acompañamiento asignatura convenios graduada corrección historia obra-administradora seguimiento aperturas admiistrativa taquillera escribiente assistant recepcionista/asesor fidelización transcriptora registros recepciónista formularios
 Salud ,15,"  medico  enfermera  nutricionista enfermeria   general fisioterapeuta sst residente cuidador laborables, enfermedades autorizaciones camillero paramedico ambulancia brigadista emergencia primeros"
Administración,16,"administradora  corporativo  ejecutivos negocio promotor jefe administrativo importaciones jefe supervisor gerente producto ejecutiva. junior gestion adminitratibo organizacional planeación líder contabilidad-jefe espacios fisicos jefe jefe hora para jefe sena administrador,etc. administración adminisrativo amistrador adminsitrativa estratégicas adminstradora privada fundador independiente protocolo propietario vicepresidencia. adtivo subgerente industrial performance extranjera analista-proyectos subdirección cobadministradora"
Traductor,17,mandarín ingles bilingue
Ambiental,18,ambiental meteorológico veterinario
Operario,19,"producción operaría operario produccion encargado franca mantenimiento polifuncional oficios varios acondicionamiento empaque todero terminados externos procesos técnico máquina polivalente área área mecánico mensajero canastillas comunitario, reparación domiciliario formalizador encuestadora facilitadora aseo transformación amarrador maquinaria multifuncional soldador modisteria operário carpinteria freelanzer colaborador casalimpia lavador voluntario previsional procesador supernumerario mejoramiento bascula cuadrilla recolección procesamiento parqueadero superposiciones instrumentacion grabación empacador soplado inyectoras atracciones bombero-administrador-consultor estampador maclado auxuliar freenlance auxliar auxiliar/jefe"
Guardas Seguridad,20,seguridad guarda guarnición vigilante
Civil,21,infraestructura arquitecto construccion construcción obra obra habitacional constructora terrestre aruitecto urbano topografico
Regencia deFarmacias,22,"farmacia farmaceutica laboratorio depósitos, droguerías copidrogas"
Cocina,23,"mesa bar barmtender/mesera/cajera limpieza desinfección bartender mesera-cajera-hosstes ayudante gondolas mesonera manipuladora alimentos bar mesera-servicio cafetería fritadora mesero,almacenista pastelero sándwich parrillero parrilerro axuliar parillera despostador verduras restaurante"
Psicologos,24,psicólgo
Conductores,25,transporte suministros executive
Bachiller,26,bachiller
Consultor,27,experto especializados
Teleoperador,28,teleoperador bidireccionales
sst,29,prevencion riesgos asegurabilidad aseguramiento instalador
Investigaciòn,30,investigadora intervención enseñanza
Diseño,31,publicitarias
