  basura 	,1," t.s.u..amd. análisis direccion asesoria asistencia english speaking writing skills ambiental experto proyectos especialización aplicación energías renovables diplomado registro operaciones contables ocupacional empresarial pública contabilidad estándares financiera administradora modelos sostenibles emprendedores profesional comercio computación construcción software investigación criminalistica opetaciones business certificate e-marketing analytics mercadeo recursos humanos logistico servicios tecnología licenciado educación recreación entrenamiento deportivo listening, reading contaduria ballicher cliente registradora sistematizada mecánico gerencia trabajo orientacion familias pedagogia comercialización produccion tegnologo baciller aduanera arquitecto infraestructura edificación económicas interpretación creativo interpretativo semestres electronica desarrollo economista corporativas secretaria ejecutiva revisoria seguridad higiene manipulación alimentos arquitectónica ejecución ingieniero informatica practicas pegagicas profundización zootecnista personal liderazgo turistica producividad gráfico publicitario mantenimiento visuales énfasis negociación integral infancia tecnológica mecatrónico estrategia automatización procesos electricista hotelera mecanico pedagógica adminitracion inteligencia aprovado estudios fisioterapeuta generales mensajeria inmercion paquete complementaria residencial procesamiento instalacion competencia auxliar (francia, alemania, holanda) igualas violencia voluntariado culminar anywhere advanced preprensa congreso"
Primaria,2,primaria telecomunicaciones ofimáticas switching
Noveno,3,noveno promoción factores pensiones basadas neurolingüística principios soluciones
Bachiller,4,bachiller media secundaria academico especialidad: bachilerato
Técnico,5,tecnico técnico superior universitario bancaria docencia virtual internacionalista tencnico tècnico
Tecnólogo,6,"tg  tecnóloga psicología logística gramática, redacción ortografía colombo-alemán tecnòlogo"
Dipplomado,7, transversales: decisiones diplomado diplomado exogena diplomado diplomatura diplomado
Especializacón,8, territorial jurisprudencia. cambridge england.
Curso,9," montacarga fundamentación vigilancia curso curso principiante introduction pre-intermedio estudiante participacion 1=foro, actulizacion"
Ingeniero,10,Ingeniero ingenier ing citotecnologia ingeneria facultad
Phd,11,doctor dr. especialization candidato eléctrica. programación computadoras licenciatura supervisión informática audiovisuales bachicher entidades magister almacenamiento implementacion trabajador ofimatica mervadod básica psicólogo operativo alturas constitucional petroleos multimedia primeros psicológicos inseminación recuperación cartera créditos cátedra pensamiento creatividad solución conflictos distrital comunicación efectiva músico realizador televisión emprendimiento bachuller comunicaciones auditoria conceptualizacion bootcamp engineer foundation telemática pregrado formulación evaluación farmacia contabiidad imágenes gestiones tripulante intermedio enfermería telemercadeo indicadores panadería culinarias cuentas cobtables credito arquitecturas examination certificación artística escénicas aplazado archivo tenologo topografia biomedico reparación motores community quimico project professional procesados carnicos calculo peluqueria metálicas materiales compuestos manteniento aviones diseñador agronómica bodegaje
Magister,12,master maestria magíster
derecho,13,tributaria derecho laboral relaciones abogada auxiliar judicial académico periodista politicas
Negocios,14,administración empresas gestión administrativa contador publico organizaciones industriales negocios internacionales portuaria marketing tesorería respondiente abastecimiento políticas bilingüe presupuesto crediticio negócios promotora cambiarios involment
Ciencias ,15,ciencias (busqueda abiertos instructores) (binomio rescate) camillero odontología(suspendido)
Psicologo,16,psicòlogo sociología
Especialista,17,especialista raíces reconocimiento
Turismo,18,turismo pesquero
Tecnología,19,sistemas información innovacion electrónica domiciliarias tecnoligia
Humanas,20,comunicadora interpersonales relacionista teología social-periodista liderezgo consecución responsabilidad cuidado mayor: envejecimiento comunicativas
Gastronomía,21,gastronomía
TICS,22,computarizada microsoft 2016: office digitacion avanzado introducción photoshop fotografía retratos mecatronica telematicas informarica manejador networks routing essentials dreamweaver búsquedas
Agropecuaria y campo,23,agropecuario agroindustria pastelería perecederos maquinaria agrícola veterinario
Alimentos,24,alimentaria manupulacion sólidos reposteria laboratorio
Empresas,25,mercadotecnia herramientas estratégica contratación management contabilización cooperacion finacieras productividad admnistrativo automotriz gerencial-nocturno administtraciòn microempresas administrtativa adminsitrativo
SST,26,sg-sst planeación curso curso presentes curso curso auditorías curso curso auditorías traslado 9001:2008 coordinador
Saneamiento ambiental,27,sanitaria
Logistica,28,inventarios distribucion líneas aéreas terrestres porturia(cajamag) exterior metodología tec.logistica avansado mercancia transporte pasajeros optimas aerolineas peligrosas aeroportuarios equipajes asitente interanacional
Deseño,29,interiores domesticas riesgos grabación fotográfico
Docencia,30,preescolar normalista módulo culturales extranjeras escuela expresión convivencia ciudadana inmersión valores lenguage.
Archivistica,31,archivista documental cesantias documentación  prestaciones despacho objetos
Medicina,32,enferneria
Ventas y servicios,33,turística markting cosmetóloga estética aplicabilidad privada
Ambiental,34,"sostenibilidad movilidad urbanistico salubrista biólogo localizacion mezcla,"
Quimico,35,petroquimico
Salud,36,odontologo pacientes urgencias
Fermaciòn trabajo,37,refrigeracion manteniemiento digitadora recepcionista
Investigación,38,cuantitativas cualitativas diagnosticar implantar participativa enfaisis
